state,turnout
Alabama,0.62
Alaska,0.68
Arizona,0.69
Arkansas,0.56
California,0.69
Colorado,0.78
Connecticut,0.71
Delaware,0.70
District of Columbia,0.66
Florida,0.72
Georgia,0.68
Hawaii,0.56
Idaho,0.68
Illinois,0.66
Indiana,0.62
Iowa,0.73
Kansas,0.66
Kentucky,0.65
Louisiana,0.64
Maine,0.76
Maryland,0.70
Massachusetts,0.71
Michigan,0.74
Minnesota,0.80
Mississippi,0.60
Missouri,0.66
Montana,0.73
Nebraska,0.70
Nevada,0.66
New Hampshire,0.75
New Jersey,0.72
New Mexico,0.61
New York,0.61
North Carolina,0.73
North Dakota,0.63
Ohio,0.67
Oklahoma,0.55
Oregon,0.76
Pennsylvania,0.70
Rhode Island,0.63
South Carolina,0.66
South Dakota,0.66
Tennessee,0.60
Texas,0.61
Utah,0.69
Vermont,0.72
Virginia,0.73
Washington,0.76
West Virginia,0.57
Wisconsin,0.75
Wyoming,0.65
